,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
95,Lesotho,LSO,4,1539.79,0.495,NaN,7.400000095367432,4.053547382354736,NaN,35.21265029907227,False
3,Andorra,AND,5,32367.33,0.85699999,NaN,NaN,NaN,2.997809886932373,NaN,True
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516,False
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,False
163,South Sudan,SSD,4,NaN,0.421,NaN,6.900000095367432,NaN,1.712970018386841,NaN,True
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490020751953,6.199999809265137,4.54694414138794,NaN,67.44245910644531,False
2,Algeria,DZA,3,5402.1699,0.74299997,39.11399841308594,5.099999904632568,2.977302312850952,NaN,NaN,False
81,Israel,ISR,3,25926.25,0.898,8.211999893188477,NaN,3.719112396240234,5.757269859313965,98.39215850830078,False
181,Ukraine,UKR,1,9326.7197,0.74800003,42.7599983215332,5.5,3.673648834228516,5.863540172576904,88.56585693359375,False
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,6.300000190734863,NaN,NaN,NaN,True
158,Slovenia,SVN,1,24456.561,0.88800001,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344,False
21,Belize,BLZ,10,6649.1401,0.70599997,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,False
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922,False
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,6.300000190734863,NaN,NaN,92.20738220214844,True
64,Germany,DEU,5,39486.699,0.92400002,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,NaN,False
87,Jordan,JOR,3,5188.9199,0.741,6.675000190734863,3.599999904632568,4.585320949554443,NaN,81.37625122070312,False
4,Angola,AGO,4,3771.2,0.53100002,25.78899955749512,6.0,2.134715557098389,NaN,NaN,False
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586,False
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000011920929,2.099999904632568,4.580255031585693,4.083879947662354,84.60346984863281,False
116,Mozambique,MOZ,4,852.39001,0.414,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266,False
43,Croatia,HRV,1,18020.41,0.82300001,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688,False
79,Iraq,IRQ,3,4178.2598,0.64899999,32.57799911499023,8.100000381469727,NaN,NaN,NaN,True
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876,False
180,Uganda,UGA,4,1343.45,0.48800001,37.59999847412109,7.300000190734863,3.571631669998169,2.213870048522949,NaN,False
148,San Marino,SMR,5,42664.211,NaN,0.034000001847744,NaN,NaN,2.383729934692383,NaN,True
85,Japan,JPN,6,36123.77,0.90200001,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328,False
151,Senegal,SEN,4,1527.99,0.491,NaN,7.400000095367432,3.760167360305786,7.396200180053711,NaN,False
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295,False
58,Finland,FIN,5,36958.211,0.89300001,5.427000045776367,2.299999952316284,5.859115123748779,7.168099880218506,94.00318145751952,False
8,Australia,AUS,5,38611.949,0.93699998,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,False
192,Yemen,YEM,3,2170.9299,0.49900001,NaN,7.5,1.896328449249268,NaN,41.72175979614258,False
108,Mauritania,MRT,4,2223.01,0.51300001,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723,False
73,Honduras,HND,2,3303.1399,0.62300003,NaN,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984,False
190,Venezuela,VEN,2,10513.96,0.76899999,NaN,5.199999809265137,2.640229225158691,NaN,74.78971099853516,False
185,Tanzania,TZA,4,1416.3,0.51899999,43.88000106811523,7.0,3.004210472106934,3.479140043258667,NaN,False
124,Nicaragua,NIC,2,2527.1001,0.64200002,5.946000099182129,8.100000381469727,2.655974626541138,NaN,NaN,False
34,Chad,TCD,4,1651.05,0.39399999,NaN,8.600000381469727,2.528029441833496,2.849709987640381,NaN,False
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297,False
109,Mauritius,MUS,4,10944.54,0.77899998,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469,False
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297,False
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063,False
119,Nauru,NRU,9,3130.47,NaN,0.0120000001043081,NaN,NaN,NaN,71.94534301757812,True
103,Malawi,MWI,4,938.34998,0.47299999,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563,False
11,Bahrain,BHR,3,22498.48,0.82300001,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562,False
49,Dominica,DMA,10,12613.72,0.72399998,NaN,NaN,NaN,NaN,86.32093048095703,True
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063,False
165,Suriname,SUR,10,6049.1499,0.72299999,0.546999990940094,7.300000190734863,2.884561777114868,NaN,58.39226913452148,False
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281,False
50,Dominican Republic,DOM,2,10376.63,0.71799999,NaN,7.599999904632568,2.636394500732422,NaN,65.45761108398438,False
175,United Arab Emirates,ARE,3,20310.109,0.83600003,NaN,2.5,5.27984094619751,NaN,NaN,False
134,Paraguay,PRY,2,4812.9199,0.69199997,6.559000015258789,5.199999809265137,2.324439764022827,4.955399990081787,66.45951843261719,False
68,Grenada,GRD,10,8314.5596,0.75099999,NaN,8.399999618530273,NaN,NaN,82.3596420288086,True
140,Timor-Leste,TLS,7,1957.8101,0.60299999,1.146000027656555,7.0,2.449350833892822,7.775000095367432,51.84904861450195,False
172,Togo,TGO,4,1036.28,0.484,6.928999900817871,7.300000190734863,NaN,4.868460178375244,NaN,True
29,Cameroon,CMR,4,2658.51,0.514,NaN,7.5,3.810850858688355,3.029900074005127,43.13555908203125,False
149,Sao Tome and Principe,STP,4,2150.55,0.565,NaN,7.900000095367432,NaN,3.7568199634552,64.42681121826172,True
102,Madagascar,MDG,4,822.62,0.51099998,NaN,6.099999904632568,2.968793392181397,2.082040071487427,31.08041000366211,False
120,Nepal,NPL,8,1462.08,0.55500001,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922,False
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114440918,7.099999904632568,NaN,NaN,NaN,True
17,Bolivia,BOL,2,4023.8701,0.671,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125,False
182,Macedonia,MKD,1,9610.5996,0.74599999,2.069000005722046,5.5,3.961112499237061,NaN,NaN,False
167,Sweden,SWE,5,39000.91,0.90899998,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328,False
10,Bahamas,BHS,10,21672.029,0.79000002,0.3560000061988831,5.0,NaN,NaN,NaN,True
37,Taiwan,TWN,6,33965.871,NaN,23.43400001525879,NaN,3.908831357955933,NaN,NaN,False
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,NaN,6.0,NaN,NaN,NaN,True
174,Trinidad and Tobago,TTO,10,22089.16,0.77899998,1.353999972343445,7.5,4.182013988494873,NaN,NaN,False
98,Libya,LBY,3,4102.8398,0.71899998,6.265999794006348,6.400000095367432,1.874972462654114,NaN,NaN,False
96,Latvia,LVA,1,16583.67,0.82800001,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125,False
179,Tuvalu,TUV,9,3174.05,NaN,0.0109999999403954,NaN,NaN,NaN,69.80497741699219,True
157,Vietnam,VNM,7,4147.5698,0.67799997,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,NaN,False
9,Austria,AUT,5,38868.039,0.89200002,8.543999671936035,1.5,4.492074966430664,5.499549865722656,NaN,False
107,Malta,MLT,5,24094.641,0.85299999,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562,False
162,Spain,ESP,5,31086.35,0.88200003,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625,False
56,Estonia,EST,1,19768.039,0.86299998,1.315999984741211,3.5,4.364778518676758,5.481639862060547,94.39128112792967,False
55,Eritrea,ERI,4,1007.28,0.41800001,NaN,7.599999904632568,NaN,NaN,28.41555976867676,True
47,Benin,BEN,4,1413.05,0.48100001,10.31999969482422,6.800000190734863,2.39393949508667,4.320680141448975,44.96981811523438,False
186,United States,USA,5,47769.699,0.91799998,318.7890014648438,1.5,4.564571380615234,5.380780220031738,90.46228790283205,False
117,Oman,OMN,3,26158.73,0.79500002,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952,False
30,Canada,CAN,5,36577.078,0.91900003,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,NaN,False
32,Central African Republic,CAF,4,690.03998,0.347,NaN,6.900000095367432,NaN,1.22393000125885,13.60074996948242,True
129,Marshall Islands,MHL,9,2833.97,NaN,0.0540000014007092,NaN,NaN,NaN,64.4613037109375,True
130,Palau,PLW,9,9392.5996,0.78299999,0.0179999992251396,NaN,NaN,NaN,70.16300201416016,True
176,Tunisia,TUN,3,6912.2798,0.72299999,NaN,5.5,3.721023797988892,6.250360012054443,NaN,False
110,Mexico,MEX,2,13609.42,0.75800002,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078,False
51,Ecuador,ECU,2,7259.52,0.73900002,15.77499961853027,6.199999809265137,3.646551609039307,5.246870040893555,83.0124282836914,False
52,El Salvador,SLV,2,332.26999,0.67799997,NaN,6.900000095367432,3.804579257965088,3.448570013046265,70.17172241210938,False
63,Gambia,GMB,4,1601.88,0.44999999,NaN,7.699999809265137,4.276580810546875,2.767709970474243,NaN,False
105,Maldives,MDV,8,13349.76,0.70099998,0.335999995470047,5.599999904632568,NaN,4.146959781646729,NaN,True
28,Cambodia,KHM,7,1927.0601,0.55800003,14.60499954223633,7.5,3.17626953125,1.901970028877258,NaN,False
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,NaN,False
65,Ghana,GHA,4,2584.6001,0.57499999,NaN,7.599999904632568,3.838903903961182,6.178549766540527,51.05852890014648,False
7,Argentina,ARG,2,15102.61,0.82599998,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562,False
114,Montenegro,MNE,1,14538.52,0.80400002,0.621999979019165,3.599999904632568,4.25305986404419,NaN,NaN,False
160,South Africa,ZAF,4,8820.0596,0.66500002,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,NaN,False
93,Laos,LAO,7,2926.77,0.58200002,6.89799976348877,7.400000095367432,3.834710359573364,3.320110082626343,50.82894134521484,False
193,Zambia,ZMB,4,1916.79,0.57599998,NaN,7.800000190734863,4.328835487365723,NaN,NaN,False
169,Syria,SYR,3,4284.4199,0.55299997,NaN,7.400000095367432,3.24616551399231,NaN,46.6161994934082,False
